Gejala,Penyakit,Label
"gejala memburuk di malam hari, sulit menelan, bau mulut",GERD,11
"diare, diare, sulit sendawa atau bersendawa, sulit kentut",Usus Buntu,1
"mual muntah, nafsu makan turun, lemas, kulit kuning, urine gelap, nyeri perut, mudah lelah, flu",Hepatitis,8
"pusing, kejang, perut kembung, ruam kulit, mati rasa pada kaki dan tangan, feses berminyak",Celiac,10
"nyeri perut, nyeri atau sakit kepala, pusing, mual muntah",Tipes,2
"demam berkepanjangan, nyeri sendi dan otot, sembelit, nyeri perut, diare, batuk kering, mudah lelah, demam tinggi",Tipes,2
"kram perut, mual muntah, diare berair atau lendir, diare berdarah",Disentri,0
"sakit perut, kerusakan gigi, pusing, perut kembung, feses atau tinja berbau busuk, feses pucat, kejang, mudah lelah",Celiac,10
"sering kentut, perut kembung, nyeri di perut bagian atas, perut terasa begah setelah makan, perut terasa penuh ketika makan, sering bersendawa atau sendawa, mual muntah",Maag,9
"berat badan turun drastis, feses berdarah atau berlendir, anus berdarah, nyeri perut, nafsu makan turun, demam, perut kembung atau begah",Inflammatory Bowel Disease (IBD),3
"kulit gatal, kulit kuning, penyakit kuning",Batu Empedu,4
"mudah lelah, demam berkepanjangan, diare, nyeri perut, sembelit, mual muntah, feses atau tinja berwarna hijau",Tipes,2
"nyeri sendi, mudah lelah, mata kuning, urine gelap, feses pucat, flu, nyeri perut",Hepatitis,8
"mual muntah, demam, kram perut, diare berdarah",Disentri,0
"feses berdarah, BAB lebih dari 3 kali dalam sehari, sering buang air besar, dehidrasi, perut kembung, pusing",Diare,13
"anus gatal, nyeri saat mengejan, feses berdarah, anus nyeri",Ambeien,5
"urine gelap, mual muntah, berat badan turun",Hepatitis,8
"sembelit, hilang selera makan, mual muntah, pusing, keringat berlebih atau banyak berkeringat, nyeri sendi dan otot, lemas",Tipes,2
"feses atau tinja keras, nyeri perut, perut terasa sesak dan penuh",Konstipasi,6
"demam, kram perut, diare berdarah, diare berair atau lendir",Disentri,0
"demam, berat badan turun drastis, diare disertai darah, nafsu makan turun, anus berdarah, perut kembung atau begah, mudah lelah",Inflammatory Bowel Disease (IBD),3
"tinja pucat, nyeri di bawah tulang dada, nyeri di tengah perut, urine gelap, kulit kuning",Batu Empedu,4
"mual muntah, sakit tenggorokan, perut kembung, lidah putih, bau mulut, nyeri dada, sakit kepala",GERD,11
"demam, mudah lelah, perut kembung atau begah",Inflammatory Bowel Disease (IBD),3
"gejala memburuk saat makan,  sering sendawa atau bersendawa, perut kembung, muntah darah,  tidak nafsu makan",Tukak lambung,7
"anus gatal, feses berdarah, benjolan atau bengkak di sekitar atau dekat anus, nyeri saat mengejan",Ambeien,5
"sulit buang air besar, nyeri perut, perut terasa sesak dan penuh",Konstipasi,6
"tinja berdarah, sulit buang air besar, jarang buang air besar",Konstipasi,6
"anus nyeri, nyeri saat mengejan, anus gatal, benjolan atau bengkak di sekitar atau dekat anus",Ambeien,5
"feses berdarah, jarang kencing, feses cair, BAB lebih dari 3 kali dalam sehari, sering buang air besar, BAB berkali-kali, lemas",Diare,13
" tidak nafsu makan, mual muntah, lemas",Tukak lambung,7
"kram perut, sering kentut, gejala hilang timbul, feses berlendir, tekstur feses atau tinja tidak menentu, sulit menahan buang air besar, sembelit",Irritable Bowel Syndrome (IBS),12
"lemas, menggigil, sembelit, pusing",Tipes,2
"nyeri perut, mudah lelah, dehidrasi, pusing",Tipes,2
"mudah lelah, demam, nyeri perut, mata kuning, berat badan turun, nyeri sendi, mual muntah",Hepatitis,8
"anus nyeri, anus gatal, benjolan atau bengkak di sekitar atau dekat anus",Ambeien,5
"sembelit, dehidrasi, nyeri sendi dan otot, mudah lelah",Tipes,2
"nyeri di bawah tulang dada, urine gelap, demam, mual muntah, kulit gatal, mata kuning, nyeri perut kanan atas, nyeri di tengah perut",Batu Empedu,4
"feses pucat, perut kembung, feses atau tinja berbau busuk",Celiac,10
"nyeri saat mengejan, benjolan atau bengkak di sekitar atau dekat anus, feses berdarah",Ambeien,5
"anus nyeri, nyeri saat mengejan, feses berdarah, benjolan atau bengkak di sekitar atau dekat anus",Ambeien,5
"kulit gatal, demam, tinja pucat, nafsu makan turun, urine gelap, nyeri di tengah perut, mata kuning, nyeri perut kanan atas",Batu Empedu,4
"batuk, berasa angin di dada, nyeri dada, sensasi dada terbakar, perut terasa begah",GERD,11
"feses berdarah, BAB lebih dari 3 kali dalam sehari, sering buang air besar, dehidrasi, perut kembung, pusing, sulit menahan buang air besar",Diare,13
"mudah lelah, feses atau tinja berwarna hijau, keringat berlebih atau banyak berkeringat",Tipes,2
"selera makan berubah, gejala hilang timbul selama beberapa minggu, sensasi dada terbakar, gejala maag yang hilang timbul selama beberapa hari, lemas, gejala memburuk saat makan, mual muntah",Tukak lambung,7
"sering bersendawa atau sendawa, perut kembung, sering kentut, nyeri ulu hati, nyeri di perut bagian atas, perut terasa penuh ketika makan, mual muntah",Maag,9
"diare berair atau lendir, demam, mual muntah, diare berdarah",Disentri,0
"sering kentut, nyeri di perut bagian atas, perut terasa begah setelah makan, perut kembung, sering bersendawa atau sendawa, nyeri ulu hati, perut terasa penuh ketika makan",Maag,9
"feses atau tinja kering, nyeri perut, tinja berdarah, perut terasa sesak dan penuh, sulit buang air besar, jarang buang air besar",Konstipasi,6
"mual muntah, perut kembung, sakit perut, pusing, mudah lelah, feses pucat, diare, feses berminyak",Celiac,10
"mudah lelah, lemas, berat badan turun, kulit kuning, nyeri sendi",Hepatitis,8
"nyeri perut, nafsu makan turun, lemas, feses pucat, mata kuning",Hepatitis,8
"sembelit, kerusakan gigi, feses berminyak",Celiac,10
"sesak napas, gejala hilang timbul selama beberapa minggu, lemas, nyeri ulu hati,  sering sendawa atau bersendawa,  tidak nafsu makan, muntah darah, gejala makin parah saat perut kosong atau belum makan",Tukak lambung,7
"feses cair, jarang kencing, BAB berkali-kali, feses berdarah, tinja encer, dehidrasi, sulit menahan buang air besar",Diare,13
"nyeri ulu hati, perut terasa penuh ketika makan, sering kentut, mual muntah, perut kembung, perut terasa begah setelah makan",Maag,9
"feses berdarah, lemas, perut kembung, tinja encer, pusing, feses cair, jarang kencing, feses keluar terus-menerus",Diare,13
"kejang, feses berminyak, pusing",Celiac,10
"kliyengan, gejala memburuk di malam hari, berasa angin di dada, rasa panas pada tenggorokan, mual muntah, gejala muncul setelah makan, heartburn, sulit menelan",GERD,11
"sering kentut, nyeri di perut bagian atas, perut terasa begah setelah makan, perut kembung, sering bersendawa atau sendawa, nyeri ulu hati",Maag,9
"feses berdarah, benjolan atau bengkak di sekitar atau dekat anus, nyeri saat mengejan, anus gatal",Ambeien,5
"perut kembung, sering kentut, mual muntah, perut terasa begah setelah makan, perut terasa penuh ketika makan, sering bersendawa atau sendawa",Maag,9
"feses berlendir, sering kentut, nyeri perut, sembelit, diare",Irritable Bowel Syndrome (IBS),12
"lemas, mudah lelah, nafsu makan turun, kulit kuning, feses pucat, nyeri perut, demam, berat badan turun",Hepatitis,8
"diare, demam, nyeri meningkat atau semakin parah saat berjalan, sembelit, nyeri perut kanan bawah, diare, nyeri meningkat ketika perut kanan bawah ditekan",Usus Buntu,1
"sulit buang air besar, nyeri perut, perut terasa sesak dan penuh, jarang buang air besar, feses atau tinja keras, tinja berdarah",Konstipasi,6
"nyeri perut, demam tinggi, diare, demam berkepanjangan, mual muntah, menggigil, mudah lelah",Tipes,2
"sakit tenggorokan, sulit menelan, sakit kepala, rasa panas pada tenggorokan, gejala muncul setelah makan, perut terasa begah, mual muntah",GERD,11
"gejala memburuk saat makan, mual muntah, nyeri ulu hati",Tukak lambung,7
"nyeri perut, demam tinggi, diare, demam berkepanjangan, mual muntah, menggigil",Tipes,2
"nyeri perut, jarang buang air besar, sulit buang air besar, perut terasa sesak dan penuh, tinja berdarah, feses atau tinja keras",Konstipasi,6
"benjolan atau bengkak di sekitar atau dekat anus, feses berdarah, anus nyeri, nyeri saat mengejan",Ambeien,5
"jarang buang air besar, sulit buang air besar, nyeri perut, tinja berdarah, feses atau tinja keras, perut terasa sesak dan penuh",Konstipasi,6
"benjolan atau bengkak di sekitar atau dekat anus, feses berdarah, anus gatal, nyeri saat mengejan",Ambeien,5
"rasa panas pada tenggorokan, lemas, gejala terasa memburuk ketika berbaring atau membungkuk, gejala muncul setelah makan, bau mulut, pusing, nyeri ulu hati",GERD,11
"perut terasa sesak dan penuh, tinja berdarah, feses atau tinja keras",Konstipasi,6
"mudah lelah, anus berdarah, demam, nafsu makan turun, diare disertai darah, feses berdarah atau berlendir",Inflammatory Bowel Disease (IBD),3
"sakit perut, kejang, pusing, anemia, feses berminyak",Celiac,10
"diare, nyeri perut, lemas",Tipes,2
"mudah lelah, demam berkepanjangan, diare, nyeri perut, sembelit, mual muntah, feses atau tinja berwarna hijau, nyeri sendi dan otot",Tipes,2
"penyakit kuning, mual muntah, nafsu makan turun",Batu Empedu,4
"feses berair, kram perut, nyeri perut",Irritable Bowel Syndrome (IBS),12
"perut kembung, sering kentut, mual muntah",Maag,9
"sering bersendawa atau sendawa, sering kentut, mual muntah, nyeri ulu hati, perut kembung, perut terasa penuh ketika makan",Maag,9
"demam, mudah lelah, perut kembung atau begah, anus berdarah, berat badan turun drastis",Inflammatory Bowel Disease (IBD),3
"sembelit, diare, mual muntah, hilang selera makan, mudah lelah, lemas, menggigil",Tipes,2
"perut terasa begah, sakit kepala, nyeri ulu hati, perut kembung, gejala memburuk di malam hari, mulut terasa asam atau pahit, berasa angin di dada, heartburn",GERD,11
"sulit sendawa atau bersendawa, diare, nyeri meningkat atau semakin parah saat berjalan",Usus Buntu,1
"nyeri perut, feses atau tinja keras, feses atau tinja kering, perut terasa sesak dan penuh, tinja berdarah, jarang buang air besar",Konstipasi,6
"nyeri saat mengejan, anus gatal, anus nyeri, feses berdarah",Ambeien,5
"selera makan berubah, sensasi dada terbakar, lemas, gejala maag yang hilang timbul selama beberapa hari, gejala makin parah saat perut kosong atau belum makan",Tukak lambung,7
"nyeri perut kanan atas, mual muntah, kulit kuning, nafsu makan turun, demam, kulit gatal, mata kuning, urine gelap",Batu Empedu,4
"perut kembung, nyeri di perut bagian atas, perut terasa begah setelah makan, nyeri ulu hati, sering bersendawa atau sendawa",Maag,9
"perut terasa begah setelah makan, nyeri di perut bagian atas, nyeri ulu hati, sering kentut, perut kembung, perut terasa penuh ketika makan",Maag,9
"kulit gatal, demam, tinja pucat",Batu Empedu,4
"demam, berat badan turun drastis, diare disertai darah, nafsu makan turun, mudah lelah, anus berdarah, nyeri perut, perut kembung atau begah",Inflammatory Bowel Disease (IBD),3
"benjolan atau bengkak di sekitar atau dekat anus, anus nyeri, feses berdarah, anus gatal",Ambeien,5
"diare berair atau lendir, kram perut, diare berdarah",Disentri,0
"sering bersendawa atau sendawa, nyeri ulu hati, perut terasa begah setelah makan, perut terasa penuh ketika makan, sering kentut",Maag,9
"nyeri di bawah tulang dada, mual muntah, penyakit kuning, demam",Batu Empedu,4
"meriang, nyeri meningkat ketika perut kanan bawah ditekan, sulit sendawa atau bersendawa, nyeri tengah perut atau ulu hati yang hilang timbul",Usus Buntu,1
"sering kentut, mual muntah, perut kembung, nyeri ulu hati, nyeri di perut bagian atas, perut terasa penuh ketika makan, sering bersendawa atau sendawa",Maag,9
"nafsu makan turun, demam, penyakit kuning, kulit kuning, urine gelap, mual muntah, mata kuning",Batu Empedu,4
"sulit menahan buang air besar, feses berlendir, diare, sering kentut, tekstur feses atau tinja tidak menentu",Irritable Bowel Syndrome (IBS),12
"feses berlendir, perut kembung, sakit perut setelah buang air besar, kram perut",Irritable Bowel Syndrome (IBS),12
"anus gatal, nyeri saat mengejan, feses berdarah, anus nyeri",Ambeien,5
"perut kembung, nyeri di perut bagian atas, perut terasa begah setelah makan, nyeri ulu hati",Maag,9
"perut kembung, gejala memburuk saat makan, gejala makin parah saat perut kosong atau belum makan, gejala maag yang hilang timbul selama beberapa hari",Tukak lambung,7
"perut kembung, sensasi dada terbakar, nyeri dada, heartburn, mual muntah, lemas, gejala muncul setelah makan",GERD,11
"demam tinggi, mual muntah, batuk kering, mudah lelah, dehidrasi",Tipes,2
"perut kembung, diare, feses atau tinja berbau busuk, anemia, nafsu makan turun, kejang, nyeri sendi",Celiac,10
"gejala makin parah saat perut kosong atau belum makan, nyeri ulu hati, gejala hilang timbul selama beberapa minggu, gejala maag yang hilang timbul selama beberapa hari",Tukak lambung,7
"sakit perut, kejang, pusing, anemia, feses berminyak, diare, nafsu makan turun, nyeri sendi",Celiac,10
"benjolan atau bengkak di sekitar atau dekat anus, feses berdarah, anus nyeri, nyeri saat mengejan",Ambeien,5
"urine gelap, penyakit kuning, nyeri perut kanan atas, tinja pucat",Batu Empedu,4
"kejang, diare, anemia, kerusakan gigi, mati rasa pada kaki dan tangan",Celiac,10
"feses keluar terus-menerus, lemas, sering buang air besar, BAB lebih dari 3 kali dalam sehari, pusing",Diare,13
"nyeri ulu hati, perut terasa penuh ketika makan, sering kentut, mual muntah, perut kembung, perut terasa begah setelah makan, nyeri di perut bagian atas",Maag,9
"sering kentut, perut kembung, nyeri ulu hati, nyeri di perut bagian atas",Maag,9
"mual muntah, lemas, mata kuning",Hepatitis,8
"BAB lebih dari 3 kali dalam sehari, lemas, pusing, feses berdarah, tinja encer, feses cair",Diare,13
"feses berair, kram perut, nyeri perut, feses berlendir, sembelit, sering kentut",Irritable Bowel Syndrome (IBS),12
"kram perut, demam, diare berdarah, mual muntah",Disentri,0
"kliyengan, sulit menelan, gejala muncul setelah makan, perut terasa begah, perut kembung, gejala memburuk di malam hari, lemas, mulut terasa asam atau pahit",GERD,11
"feses berdarah, benjolan atau bengkak di sekitar atau dekat anus, nyeri saat mengejan, anus gatal",Ambeien,5
"sensasi dada terbakar, perut terasa begah, gejala terasa memburuk ketika berbaring atau membungkuk, lemas",GERD,11
"feses berdarah atau berlendir, perut kembung atau begah, anus berdarah, nyeri perut",Inflammatory Bowel Disease (IBD),3
"kulit kuning, urine gelap, demam, kulit gatal, tinja pucat",Batu Empedu,4
"gejala memburuk saat makan,  tidak nafsu makan, gejala hilang timbul selama beberapa minggu",Tukak lambung,7
"sulit buang air besar, tinja berdarah, nyeri perut, jarang buang air besar, feses atau tinja keras, perut terasa sesak dan penuh",Konstipasi,6
"feses berdarah atau berlendir, berat badan turun drastis, mudah lelah, anus berdarah, perut kembung atau begah",Inflammatory Bowel Disease (IBD),3
"sulit buang air besar, tinja berdarah, nyeri perut",Konstipasi,6
"nyeri sendi, mudah lelah, mata kuning",Hepatitis,8
"BAB berkali-kali, tinja encer, perut kembung, feses keluar terus-menerus, dehidrasi, lemas, sulit menahan buang air besar",Diare,13
"meriang, sulit kentut, nyeri tengah perut atau ulu hati yang hilang timbul, nyeri meningkat atau semakin parah saat berjalan, sembelit, diare",Usus Buntu,1
"tekstur feses atau tinja tidak menentu, kram perut, sering kentut, diare",Irritable Bowel Syndrome (IBS),12
"gejala makin parah saat perut kosong atau belum makan, nyeri ulu hati, gejala maag yang hilang timbul selama beberapa hari, gejala memburuk saat makan, muntah darah",Tukak lambung,7
"feses atau tinja kering, perut terasa sesak dan penuh, feses atau tinja keras, sulit buang air besar, tinja berdarah",Konstipasi,6
"dehidrasi, hilang selera makan, nyeri sendi dan otot",Tipes,2
"mual muntah, diare berdarah, kram perut, demam",Disentri,0
"mudah lelah, demam, nyeri perut, mata kuning, berat badan turun, nyeri sendi",Hepatitis,8
"nyeri perut, feses atau tinja keras, feses atau tinja kering, perut terasa sesak dan penuh",Konstipasi,6
"pusing, kejang, perut kembung, ruam kulit, mati rasa pada kaki dan tangan",Celiac,10
"demam, berat badan turun drastis, perut kembung atau begah, nafsu makan turun, nyeri perut, feses berdarah atau berlendir",Inflammatory Bowel Disease (IBD),3
"feses berdarah, anus gatal, anus nyeri",Ambeien,5
"kram perut, demam, diare berdarah",Disentri,0
"feses atau tinja keras, jarang buang air besar, perut terasa sesak dan penuh, feses atau tinja kering, sulit buang air besar, nyeri perut",Konstipasi,6
"tekstur feses atau tinja tidak menentu, kram perut, sering kentut, diare, feses berlendir, feses berair",Irritable Bowel Syndrome (IBS),12
"lemas, menggigil, sembelit",Tipes,2
"muntah darah, gejala maag yang hilang timbul selama beberapa hari, gejala memburuk saat makan,  tidak nafsu makan, sesak napas",Tukak lambung,7
"feses berdarah, benjolan atau bengkak di sekitar atau dekat anus, nyeri saat mengejan, anus gatal",Ambeien,5
"meriang, nyeri tengah perut atau ulu hati yang hilang timbul, nyeri meningkat atau semakin parah saat berjalan, nyeri meningkat ketika perut kanan bawah ditekan, diare, nyeri perut kanan bawah, sulit sendawa atau bersendawa, diare",Usus Buntu,1
"mudah lelah, sembelit, perut kembung, feses pucat, sakit perut",Celiac,10
"penyakit kuning, nafsu makan turun, nyeri perut kanan atas",Batu Empedu,4
" tidak nafsu makan, mual muntah, lemas, sensasi dada terbakar, sesak napas",Tukak lambung,7
"kulit gatal, mata kuning, nyeri perut kanan atas, tinja pucat, nyeri di bawah tulang dada, mual muntah, demam, urine gelap",Batu Empedu,4
"nyeri perut, mudah lelah, berat badan turun, nafsu makan turun, mata kuning",Hepatitis,8
"demam, diare berdarah, diare berair atau lendir, kram perut",Disentri,0
"kerusakan gigi, perut kembung, feses berminyak",Celiac,10
"anus nyeri, anus gatal, benjolan atau bengkak di sekitar atau dekat anus",Ambeien,5
"tinja encer, feses keluar terus-menerus, dehidrasi, perut kembung, sering buang air besar, pusing, BAB berkali-kali",Diare,13
"selera makan berubah, perut kembung, sensasi dada terbakar",Tukak lambung,7
"mudah lelah, lemas, berat badan turun, kulit kuning, nyeri sendi, flu, nafsu makan turun",Hepatitis,8
"urine gelap, penyakit kuning, nyeri perut kanan atas",Batu Empedu,4
"muntah darah, gejala makin parah saat perut kosong atau belum makan, lemas, sensasi dada terbakar",Tukak lambung,7
"nyeri perut kanan atas, mata kuning, kulit kuning",Batu Empedu,4
"feses cair, feses keluar terus-menerus, feses berdarah, sering buang air besar, dehidrasi",Diare,13
"diare, sulit kentut, nyeri meningkat atau semakin parah saat berjalan, mual muntah, sulit sendawa atau bersendawa, nyeri perut kanan bawah, demam, nyeri tengah perut atau ulu hati yang hilang timbul",Usus Buntu,1
"feses berdarah atau berlendir, anus berdarah, nafsu makan turun, mudah lelah, nyeri perut, berat badan turun drastis, perut kembung atau begah, diare disertai darah",Inflammatory Bowel Disease (IBD),3
"sembelit, dehidrasi, nyeri sendi dan otot",Tipes,2
"kram perut, diare, sering kentut, sulit menahan buang air besar, sakit perut setelah buang air besar",Irritable Bowel Syndrome (IBS),12
"BAB berkali-kali, jarang kencing, lemas, feses cair, pusing, BAB lebih dari 3 kali dalam sehari, dehidrasi, sering buang air besar",Diare,13
"diare berdarah, diare berair atau lendir, kram perut, mual muntah",Disentri,0
"BAB berkali-kali, perut kembung, tinja encer, feses keluar terus-menerus, sering buang air besar, feses berdarah",Diare,13
"sulit menelan, pusing, nyeri ulu hati",GERD,11
"jarang kencing, lemas, feses keluar terus-menerus, dehidrasi",Diare,13
"mual muntah, sakit tenggorokan, perut kembung, lidah putih",GERD,11
"mual muntah, demam, mudah lelah, mata kuning, nyeri sendi, nyeri perut, feses pucat",Hepatitis,8
"jantung berdebar, sakit kepala, gejala muncul setelah makan, kliyengan, rasa panas pada tenggorokan, batuk, nyeri ulu hati",GERD,11
"jarang buang air besar, sulit buang air besar, nyeri perut, tinja berdarah, feses atau tinja keras, perut terasa sesak dan penuh",Konstipasi,6
"sembelit, mudah lelah, feses pucat, diare, mati rasa pada kaki dan tangan",Celiac,10
"anus gatal, nyeri saat mengejan, feses berdarah, benjolan atau bengkak di sekitar atau dekat anus",Ambeien,5
"anus nyeri, anus gatal, benjolan atau bengkak di sekitar atau dekat anus, feses berdarah",Ambeien,5
"sulit menahan buang air besar, sering buang air besar, jarang kencing, feses keluar terus-menerus, pusing, dehidrasi",Diare,13
"sulit buang air besar, feses atau tinja keras, nyeri perut, feses atau tinja kering, jarang buang air besar, tinja berdarah",Konstipasi,6
"nyeri perut, perut kembung atau begah, berat badan turun drastis, mudah lelah, feses berdarah atau berlendir, nafsu makan turun, diare disertai darah, demam",Inflammatory Bowel Disease (IBD),3
"kerusakan gigi, mati rasa pada kaki dan tangan, diare, feses atau tinja berbau busuk, kejang, perut kembung",Celiac,10
"rasa panas pada tenggorokan, lemas, gejala terasa memburuk ketika berbaring atau membungkuk, gejala muncul setelah makan",GERD,11
"feses berlendir, diare, kentut berlebihan, tekstur feses atau tinja tidak menentu, sembelit, nyeri perut, kram perut, perut kembung",Irritable Bowel Syndrome (IBS),12
"mual muntah, nyeri perut kanan bawah, sulit sendawa atau bersendawa, diare, nyeri meningkat atau semakin parah saat berjalan, sembelit, nyeri meningkat ketika perut kanan bawah ditekan, diare",Usus Buntu,1
"kram perut, demam, diare berdarah, mual muntah",Disentri,0
"perut begah, feses berminyak, feses pucat, ruam kulit, kejang, mual muntah",Celiac,10
"diare berair atau lendir, kram perut, demam, diare berdarah",Disentri,0
"mual muntah, sakit tenggorokan, perut kembung",GERD,11
"diare berdarah, demam, kram perut, mual muntah",Disentri,0
"sering kentut, feses berair, kentut berlebihan, nyeri perut, sulit menahan buang air besar",Irritable Bowel Syndrome (IBS),12
"diare, diare, sulit sendawa atau bersendawa, sulit kentut, mual muntah, nyeri meningkat ketika perut kanan bawah ditekan, meriang",Usus Buntu,1
"diare berdarah, kram perut, diare berair atau lendir, mual muntah",Disentri,0
"dehidrasi, hilang selera makan, nyeri sendi dan otot, demam tinggi, diare, lemas, demam berkepanjangan",Tipes,2
"mual muntah, gejala maag yang hilang timbul selama beberapa hari,  tidak nafsu makan",Tukak lambung,7
"nyeri perut, jarang buang air besar, sulit buang air besar",Konstipasi,6
"nyeri meningkat ketika perut kanan bawah ditekan, sembelit, sulit kentut",Usus Buntu,1
"perut kembung atau begah, feses berdarah atau berlendir, anus berdarah, nyeri perut, mudah lelah, diare disertai darah, nafsu makan turun",Inflammatory Bowel Disease (IBD),3
"diare, nyeri tengah perut atau ulu hati yang hilang timbul, nyeri meningkat atau semakin parah saat berjalan, demam, mual muntah",Usus Buntu,1
"gejala hilang timbul selama beberapa minggu, nyeri ulu hati, muntah darah,  sering sendawa atau bersendawa,  tidak nafsu makan",Tukak lambung,7
"demam, sulit sendawa atau bersendawa, diare, nyeri meningkat atau semakin parah saat berjalan, meriang",Usus Buntu,1
"anemia, diare, kejang",Celiac,10
"anus nyeri, nyeri saat mengejan, feses berdarah, benjolan atau bengkak di sekitar atau dekat anus",Ambeien,5
"feses atau tinja keras, tinja berdarah, perut terasa sesak dan penuh, nyeri perut",Konstipasi,6
"perut kembung, kejang, nyeri sendi",Celiac,10
"nyeri perut, feses atau tinja keras, feses atau tinja kering",Konstipasi,6
"mual muntah, nafsu makan turun, lemas, kulit kuning, urine gelap, nyeri perut, mudah lelah",Hepatitis,8
"nyeri perut, mudah lelah, berat badan turun, nafsu makan turun, mata kuning, mual muntah, lemas, demam",Hepatitis,8
"diare berair atau lendir, kram perut, demam, mual muntah",Disentri,0
"gejala memburuk di malam hari, sakit kepala, mulut terasa asam atau pahit, heartburn, rasa panas pada tenggorokan, batuk, gejala terasa memburuk ketika berbaring atau membungkuk",GERD,11
"nyeri perut, feses berdarah atau berlendir, anus berdarah, demam, diare disertai darah",Inflammatory Bowel Disease (IBD),3
"lemas, mudah lelah, nafsu makan turun, kulit kuning",Hepatitis,8
"gejala makin parah saat perut kosong atau belum makan, nyeri ulu hati, gejala maag yang hilang timbul selama beberapa hari, gejala memburuk saat makan, muntah darah, perut kembung",Tukak lambung,7
"gejala memburuk di malam hari, sakit kepala, mulut terasa asam atau pahit, heartburn",GERD,11
"selera makan berubah, perut kembung, muntah darah, sensasi dada terbakar,  tidak nafsu makan, sesak napas, gejala makin parah saat perut kosong atau belum makan,  sering sendawa atau bersendawa",Tukak lambung,7
"feses berdarah atau berlendir, mudah lelah, perut kembung atau begah, berat badan turun drastis, demam, nyeri perut, diare disertai darah, nafsu makan turun",Inflammatory Bowel Disease (IBD),3
"urine gelap, penyakit kuning, nyeri perut kanan atas, tinja pucat, kulit gatal, nyeri di bawah tulang dada",Batu Empedu,4
"nyeri tengah perut atau ulu hati yang hilang timbul, sembelit, sulit sendawa atau bersendawa, nyeri perut kanan bawah, diare, demam, meriang, nyeri meningkat ketika perut kanan bawah ditekan",Usus Buntu,1
"feses berminyak, kejang, nafsu makan turun, mati rasa pada kaki dan tangan, perut begah, mudah lelah",Celiac,10
"gejala memburuk saat makan, mual muntah, nyeri ulu hati, gejala makin parah saat perut kosong atau belum makan, lemas, sesak napas, selera makan berubah,  sering sendawa atau bersendawa",Tukak lambung,7
"mudah lelah, feses berminyak, nyeri sendi, mati rasa pada kaki dan tangan",Celiac,10
"jarang buang air besar, perut terasa sesak dan penuh, nyeri perut, feses atau tinja kering",Konstipasi,6
"perut kembung, kejang, nyeri sendi, mudah lelah, kerusakan gigi, diare, feses pucat, feses atau tinja berbau busuk",Celiac,10
"diare disertai darah, nafsu makan turun, feses berdarah atau berlendir, demam, perut kembung atau begah, nyeri perut, anus berdarah",Inflammatory Bowel Disease (IBD),3
"mudah lelah, demam, nyeri perut, mata kuning, berat badan turun, nyeri sendi, mual muntah, kulit kuning",Hepatitis,8
"gejala muncul setelah makan, heartburn, sulit menelan, lidah putih",GERD,11
"berat badan turun drastis, nafsu makan turun, demam, anus berdarah, nyeri perut, feses berdarah atau berlendir",Inflammatory Bowel Disease (IBD),3
"meriang, sulit kentut, nyeri tengah perut atau ulu hati yang hilang timbul, nyeri meningkat atau semakin parah saat berjalan",Usus Buntu,1
"mual muntah, pusing, perut terasa begah",GERD,11
"mual muntah, gejala maag yang hilang timbul selama beberapa hari,  tidak nafsu makan, sesak napas",Tukak lambung,7
"diare berair atau lendir, kram perut, demam, diare berdarah",Disentri,0
"perut kembung, diare, feses atau tinja berbau busuk, anemia, nafsu makan turun, kejang",Celiac,10
"nyeri di tengah perut, kulit kuning, nyeri di bawah tulang dada, nafsu makan turun",Batu Empedu,4
"anus nyeri, anus gatal, benjolan atau bengkak di sekitar atau dekat anus, feses berdarah",Ambeien,5
"demam, mata kuning, tinja pucat, kulit gatal, nyeri perut kanan atas, kulit kuning, nyeri di bawah tulang dada",Batu Empedu,4
"demam, anus berdarah, nyeri perut, nafsu makan turun",Inflammatory Bowel Disease (IBD),3
"kliyengan, gejala memburuk di malam hari, berasa angin di dada, rasa panas pada tenggorokan, mual muntah, gejala muncul setelah makan",GERD,11
"gejala hilang timbul, sembelit, feses berlendir, sulit menahan buang air besar, tekstur feses atau tinja tidak menentu, perut kembung",Irritable Bowel Syndrome (IBS),12
"feses berdarah, benjolan atau bengkak di sekitar atau dekat anus, anus nyeri, nyeri saat mengejan",Ambeien,5
"feses cair, BAB lebih dari 3 kali dalam sehari, sering buang air besar",Diare,13
"feses cair, BAB lebih dari 3 kali dalam sehari, sering buang air besar, pusing, dehidrasi, lemas",Diare,13
"perut terasa sesak dan penuh, feses atau tinja kering, tinja berdarah, sulit buang air besar, jarang buang air besar",Konstipasi,6
"feses cair, BAB lebih dari 3 kali dalam sehari, sering buang air besar, pusing, dehidrasi",Diare,13
"diare berair atau lendir, mual muntah, diare berdarah, demam",Disentri,0
"dehidrasi, mual muntah, demam tinggi",Tipes,2
"tinja pucat, nyeri di bawah tulang dada, nyeri di tengah perut",Batu Empedu,4
"nyeri perut kanan atas, mual muntah, kulit kuning",Batu Empedu,4
"sembelit, kram perut, sering kentut, kentut berlebihan, sakit perut setelah buang air besar, feses berair, perut kembung, nyeri perut",Irritable Bowel Syndrome (IBS),12
